"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0576368,0.812274,0.000479018,0.000505203,0.000721725,0.00103347,0.00144254,0.00189389,0.00365019,0.00748245,0.0168898,0.0529948,9.51486e-05,0.460877,0.989801,1,46.7445,0.334559,0.313477,28.3092,2.77616,64.5684,2.90844,177.674,2.62106,263.182,1.19414,294.965,4.06021,0.19598,0.390399,0.199817,0.435243
0.0640569,0.784464,0.000483252,0.00036655,0.000622939,0.00122628,0.00163061,0.00208941,0.00413748,0.00804758,0.0171555,0.0548563,7.56248e-05,0.43625,0.895138,1,58.1528,0.34573,0.318571,28.2255,0.602853,64.16,0.43213,179.975,0.610781,259.125,1.02181,297.373,0.513023,0.203882,0.396676,0.217857,0.416388
0.0582962,0.759805,0.000400629,0.000418852,0.00063124,0.000914799,0.00123321,0.00158764,0.00293479,0.00610444,0.0135485,0.0412095,0.000111138,0.364255,0.97186,1,51.856,0.324062,0.297503,28.5429,1.42865,63.1787,6.53584,177.833,2.97751,261.189,0.84695,298.274,2.84598,0.201566,0.407305,0.237961,0.463324
0.0551091,0.834908,0.000391446,0.000367572,0.000594323,0.00111902,0.00156201,0.002119,0.0039714,0.00805235,0.0183208,0.0586659,9.02888e-05,0.557809,0.959106,1,58.6161,0.389116,0.312779,27.9908,0.593441,62.6153,0.357692,181.553,3.34524,259.708,0.49234,296.087,0.480539,0.21876,0.419155,0.230338,0.445447
0.0565395,0.69914,0.000474216,0.000374363,0.000675621,0.00100999,0.00135978,0.00183514,0.00343317,0.00771213,0.0168446,0.0534883,9.79112e-05,0.426558,0.989624,1,94.7036,0.305846,0.28738,28.4918,0.553794,62.9097,0.641221,180.207,0.399352,257.395,0.783607,301.367,1.10068,0.209777,0.405391,0.23881,0.446348
0.05684,0.920431,0.0010645,0.000990129,0.00157084,0.00121635,0.00157053,0.0020845,0.00391041,0.00758612,0.0167499,0.0536221,8.76505e-05,0.246795,0.93524,1,44.8613,0.431573,0.310446,28.6811,2.7752,65.3823,1.8991,178.121,3.14707,260.937,0.757206,296.493,1.11174,0.208035,0.41981,0.230954,0.445872
0.0602509,0.715563,0.00080717,0.000921996,0.00136008,0.000983719,0.00129042,0.00176011,0.00316943,0.00660724,0.0144567,0.0442952,7.06138e-05,0.222491,0.958589,1,72.052,0.381456,0.279931,27.0548,0.436505,64.776,1.65977,180.064,0.575945,260.14,1.00991,298.918,0.80723,0.188965,0.366315,0.211087,0.409555
0.0642493,0.717406,0.0011256,0.00112119,0.00153611,0.000963182,0.00135048,0.00179501,0.00327182,0.00666399,0.0141612,0.0436788,8.09979e-05,0.192514,0.927222,1,58.8469,0.358776,0.29533,27.2315,0.367609,62.1145,1.75476,180.509,1.27692,260.501,0.414242,299.577,1.50636,0.201343,0.384003,0.226268,0.438406
0.0635877,0.76849,0.000974189,0.000889768,0.00144074,0.00100853,0.00141038,0.00178295,0.0033085,0.00630573,0.0131918,0.0420591,8.18376e-05,0.219043,0.925526,1,48.729,0.371833,0.304526,27.798,0.46544,63.9759,1.42766,179.712,1.44,258.617,0.57086,299.282,0.360396,0.201052,0.396211,0.233298,0.472345
0.0512247,0.683595,0.000440846,0.000322308,0.000496654,0.000727063,0.000988477,0.00134406,0.00251365,0.00523622,0.011095,0.0360465,0.000146023,0.390567,0.990582,1,58.1726,0.292659,0.248472,28.2899,2.53145,62.9168,1.42063,177.883,2.61666,261.528,0.41052,296.085,0.472741,0.191217,0.399464,0.199898,0.443903
