"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0586457,0.729351,0.000712242,0.000501132,0.00080403,0.000980057,0.00129246,0.00178203,0.00336016,0.00696488,0.0150069,0.0471532,8.51146e-05,0.325897,0.948193,1,89.6344,0.362081,0.289833,28.4206,0.675116,61.4726,2.07978,181.538,0.70977,260.867,0.72346,296.846,1.27399,0.214492,0.407935,0.227813,0.434098
0.0546831,0.780335,0.000507717,0.000573569,0.000828109,0.000969209,0.00137781,0.00178975,0.00322815,0.0065138,0.0147892,0.0451811,0.000109768,0.335856,0.91696,1,74.0549,0.35657,0.267883,28.0679,0.873143,66.3979,2.07519,180.165,1.30469,258.909,1.77249,299.028,1.26364,0.199604,0.398879,0.222359,0.427408
0.0565812,0.639325,0.000626915,0.000640171,0.00101342,0.00101934,0.00150089,0.00197862,0.00362715,0.00759676,0.017656,0.0552649,9.91634e-05,0.321496,0.987318,1,46.2379,0.272781,0.265198,28.2252,0.722454,61.25,0.814052,178.222,1.48161,261.577,0.286427,295.738,1.42134,0.197672,0.385409,0.189498,0.377152
0.05331,0.682738,0.000523731,0.000406019,0.000757708,0.000939804,0.00129734,0.001781,0.00322151,0.00676648,0.0146094,0.0487737,0.000104917,0.370662,0.988436,1,52.3365,0.30967,0.255358,27.745,0.824353,65.0602,1.55912,179.342,1.11495,259.536,0.618397,298.633,0.457382,0.187421,0.380432,0.194307,0.38939
0.0599387,0.861333,0.000626702,0.0006354,0.000894803,0.00154557,0.00208534,0.00294522,0.00557175,0.0115582,0.0270479,0.0863969,6.88798e-05,0.504354,0.983126,1,92.2025,0.341298,0.343579,28.4707,1.30072,63.7383,1.30204,180.219,0.400098,260.151,1.35546,296.156,4.06491,0.203621,0.399573,0.20045,0.396256
0.0546912,0.796292,0.000565645,0.00050329,0.00070848,0.00119907,0.00166135,0.00226203,0.00404676,0.00773472,0.0168176,0.0545255,9.15844e-05,0.431335,0.888159,1,40.5064,0.354404,0.270028,28.2781,1.55912,65.1244,1.93182,180.196,0.885027,258.309,0.274616,298.889,0.317477,0.193564,0.399328,0.194102,0.422173
0.0592712,0.807401,0.000685846,0.000646442,0.0010883,0.00113323,0.00159858,0.00207484,0.00378066,0.00784535,0.0170544,0.0523141,7.91149e-05,0.316622,0.9462,1,56.1044,0.360132,0.302442,28.6042,1.47303,64.301,0.857008,178.093,0.902353,261.842,4.82849,297.732,0.663814,0.194863,0.390994,0.205514,0.431727
0.0617599,0.755893,0.00063556,0.000654292,0.000873891,0.00121858,0.00163418,0.00220483,0.00407495,0.00833083,0.0184535,0.0593089,8.77929e-05,0.397972,0.978221,1,46.8874,0.339938,0.322253,27.3432,0.32519,62.013,1.5056,177.58,3.33443,259.264,0.340915,298.677,0.70956,0.207617,0.394813,0.228915,0.442829
0.0450298,0.829626,0.000346532,0.000321811,0.000555547,0.000753511,0.00110293,0.00147372,0.00268697,0.00564595,0.0121634,0.0385046,0.000146759,0.426731,0.981363,1,66.7887,0.415466,0.251735,28.6318,2.01446,64.8834,1.79849,180.639,0.471866,261.578,0.26797,296.858,0.396172,0.220488,0.445474,0.225119,0.518873
0.0600242,0.703859,0.000632127,0.0006058,0.000908954,0.00130994,0.00170944,0.00232141,0.00442837,0.00871216,0.0189655,0.0630874,6.35844e-05,0.391674,0.934325,1,58.2474,0.322753,0.283143,28.0268,0.596931,61.3202,1.19589,178.176,4.10996,259.089,0.802905,299.091,2.0478,0.185993,0.369963,0.196201,0.367649
