"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0592673,0.769265,0.000465633,0.000311448,0.000693152,0.000995411,0.00137995,0.00185264,0.00347665,0.00714686,0.0159336,0.0498006,8.89787e-05,0.435164,0.960242,1,66.244,0.340622,0.308322,28.5354,0.808649,63.1661,1.13316,178.879,0.773589,261.567,1.02346,296.513,0.524515,0.2083,0.399436,0.225518,0.4465
0.0487409,0.757643,0.000273881,0.000244068,0.000289643,0.000686294,0.000958678,0.0013326,0.00236365,0.00537394,0.0113477,0.0335036,0.000102892,0.574642,0.98173,1,62.7008,0.401993,0.25649,27.8549,0.730652,63.3695,1.41226,178.628,0.386397,259.121,0.896123,299.28,1.97445,0.189002,0.390249,0.240385,0.468818
0.0482944,0.720053,0.00024446,0.00021336,0.000375423,0.000716663,0.000917445,0.00123184,0.00231058,0.00533607,0.0115351,0.0332613,0.00013102,0.532682,0.9876,1,50.0821,0.361416,0.250377,28.0315,0.747417,64.3284,2.03413,179.726,0.694619,259.209,0.541176,299.662,2.91174,0.207282,0.40126,0.25215,0.470085
0.0501249,0.70292,0.000247034,0.000265451,0.000408401,0.000672607,0.00101173,0.00121876,0.00224412,0.00480635,0.0104329,0.033275,0.000178949,0.456323,0.948669,1,58.4115,0.32581,0.256923,28.8069,0.502736,60.6516,1.13462,178.633,1.89419,259.469,1.20225,298.623,0.531714,0.23498,0.449361,0.276003,0.525291
0.0502085,0.826247,0.000383055,0.000422568,0.00067178,0.000749464,0.00108427,0.00131989,0.00250188,0.0052,0.0113726,0.0351109,0.000121396,0.35576,0.9995,1,55.2194,0.398493,0.269596,28.0111,1.27453,67.1697,1.1881,179.413,0.401692,260.871,0.650519,296.682,2.91411,0.197076,0.408385,0.229866,0.491999
0.0521745,0.779308,0.000380992,0.000373569,0.000575724,0.000742063,0.00103573,0.00141018,0.00259643,0.00536866,0.0116724,0.0358961,0.000108653,0.409587,0.998817,1,47.6681,0.377344,0.272468,27.7272,0.71613,66.2739,0.499597,181.54,0.367821,261.969,0.292002,296.34,1.54339,0.194116,0.397293,0.221931,0.444951
0.0542156,0.778975,0.000350791,0.000313459,0.000508372,0.000946701,0.00126515,0.00178471,0.0033268,0.0070049,0.0153643,0.0495119,0.000104396,0.53873,0.954976,1,69.0932,0.356313,0.298682,29.3446,1.90703,61.3503,2.40804,179.187,4.37352,261.035,3.16769,299.029,0.412597,0.231078,0.430375,0.254427,0.483955
0.0537808,0.707702,0.000350688,0.000278083,0.000474033,0.000844483,0.00115634,0.00150388,0.00284992,0.00603815,0.0138645,0.042579,0.00010431,0.473597,0.999756,1,41.6199,0.32929,0.271908,27.5476,0.516258,62.5473,0.860586,177.436,0.461459,258.534,0.528996,296.849,1.46272,0.188176,0.386899,0.22018,0.40537
0.0500374,0.706335,0.000256423,0.000246119,0.000374179,0.000712197,0.000969743,0.00142482,0.00250173,0.00547428,0.0116802,0.0362542,0.000130561,0.538242,0.999949,1,70.0861,0.321967,0.259449,28.2828,1.03275,63.9507,3.90832,181.531,0.43459,263.341,0.313476,296.404,1.56461,0.207861,0.404357,0.201609,0.467014
0.0476517,0.654797,0.000268936,0.000222156,0.000425166,0.000784698,0.00113051,0.00161462,0.00276865,0.00547359,0.0124615,0.0390122,0.000124955,0.486757,0.935737,1,48.0283,0.334337,0.22718,28.5696,1.89733,61.7367,0.596983,178.751,1.24525,261.235,1.79053,294.256,0.475139,0.207148,0.401739,0.201317,0.404687
0.0564565,0.813132,0.000483102,0.000355657,0.000546989,0.000869072,0.00112834,0.00144219,0.00285517,0.00614883,0.0131526,0.0409496,0.000159271,0.399041,0.978648,1,54.963,0.320476,0.314586,29.2911,0.898071,62.7289,5.34978,177.774,0.626899,263.465,0.57373,297.554,0.663976,0.235401,0.455903,0.272101,0.535854
0.060454,0.748727,0.000360272,0.000347332,0.000578379,0.000918814,0.00127522,0.00186486,0.00325488,0.00688697,0.0155318,0.047597,0.000120606,0.48329,0.978927,1,65.5662,0.295629,0.32698,29.1647,0.792795,59.995,0.672858,177.953,0.322926,261.466,0.338353,296.083,1.74738,0.223736,0.436296,0.249963,0.478117
0.0456989,0.753595,0.000238472,0.000135837,0.000307177,0.000719147,0.0010105,0.00139046,0.00250789,0.00560556,0.0119848,0.0372925,0.000140669,0.664884,0.974842,1,48.9791,0.354982,0.249583,28.3976,0.709227,65.5352,0.842221,180.704,4.77618,260.997,2.91537,297.203,0.824309,0.209477,0.411562,0.227686,0.452149
0.0474631,0.858141,0.000320363,0.000184076,0.000342318,0.00083704,0.00106124,0.00153509,0.00269236,0.00581463,0.0130125,0.0394388,0.000119339,0.597752,0.975399,1,65.0825,0.433361,0.279603,28.8603,0.646077,63.0474,1.89344,178.497,0.336144,261.408,0.344601,299.177,0.460041,0.219996,0.434911,0.268606,0.534733
0.0509198,0.724633,0.000192142,0.000238935,0.0003628,0.000676194,0.000988835,0.00124063,0.0025009,0.0050932,0.0107634,0.0344699,0.000154514,0.516531,0.980234,1,52.2723,0.327817,0.26652,28.3482,0.785449,62.9924,2.40534,181.362,0.451391,257.614,2.12555,297.714,1.51841,0.216901,0.430092,0.262588,0.4989
0.0534277,0.750722,0.000278369,0.000235516,0.000397575,0.00087975,0.00121918,0.00168539,0.00293843,0.00656481,0.0146112,0.0455522,0.000148463,0.579765,0.986133,1,65.7253,0.300235,0.296951,28.9146,1.93089,62.0003,1.97252,179.814,0.344045,257.47,0.950321,297.631,3.82693,0.22917,0.439589,0.264068,0.487356
0.0453282,0.717667,0.000198751,0.000167537,0.000280491,0.000649773,0.000870417,0.0011965,0.0022612,0.00496849,0.0109389,0.0334017,0.000158297,0.617349,0.983622,1,59.1893,0.354778,0.246618,28.9875,0.763384,62.7909,0.46338,180.726,0.695824,260.304,0.896984,298.979,0.314473,0.227954,0.438929,0.26309,0.517201
0.0496172,0.700263,0.000221693,0.000208071,0.000322028,0.00077671,0.000969538,0.00132415,0.00245244,0.00525067,0.0120685,0.0362586,0.000136477,0.583266,0.988779,1,53.8393,0.331932,0.262714,28.8153,0.62279,63.7123,0.740973,180.232,1.7433,261.2,1.15271,297.307,0.313612,0.222828,0.420365,0.243063,0.493402
0.0464699,0.647446,0.000283164,0.000240748,0.000337976,0.000614595,0.00092431,0.00125951,0.00226312,0.00490221,0.0102813,0.0333231,0.000138594,0.511764,0.973051,1,57.8745,0.327741,0.22233,28.1073,1.4181,61.0251,3.87007,176.286,0.812781,261.22,0.910604,299.057,0.851741,0.189428,0.387324,0.216954,0.429701
0.0636911,0.671429,0.000455355,0.000455612,0.00063475,0.00103603,0.00129789,0.00173261,0.00335687,0.00702472,0.0156509,0.0490364,0.000117864,0.441066,0.984268,1,59.0999,0.245801,0.308039,28.3821,1.31617,65.3172,0.783378,180.552,3.25782,259.563,0.317954,298.248,3.12799,0.197187,0.392827,0.217029,0.397893
